"Source:","/home/neo/Repos/personal/kicad-hello-world/kicad_hello_world.kicad_sch"
"Date:","Tue 30 Aug 2022 09:46:34 PM PDT"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","3V","Battery_Cell","Battery:BatteryHolder_Keystone_1058_1x2032","Single-cell battery",""
"D1, ","1","red","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"R1, ","1","1k","R_US","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","Resistor, US symbol",""
